Record ID,Title,Author,Journal,Publisher,OriginalPaperDate,OriginalPaperDOI,Reason,Subject
67667.0,Explainable AI based wearable electronic optical data analysis with quantum photonics and quadrature amplitude neural computing,Prashant Kumar;Neeraj Sharma;T Ganesh Kumar;Puneet Kalia;Meenakshi Sharma;Rajiv Ranjan Singh,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-06-28,10.1007/s11082-023-05037-8,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Data Science;(B/T) Technology;
67665.0,Cyber security analysis based medical image encryption in cloud IoT network using quantum deep learning model,Jing Wang,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-27,10.1007/s11082-023-06076-x,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,(B/T) Business - Management;(B/T) Computer Science;(B/T) Technology;
67664.0,Advancements in optical steganography for secure medical data transmission in telehealth systems,Aparna Patange;K V Mahesan;C Manjula;Cecil Donald;Suresh Babu;Vijayakumar Peroumal;Mahendran Arumugam,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-06-30,10.1007/s11082-023-05080-5,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(HSC) Medicine - General;(SOC) Communications;
67663.0,Orthogonal frequency multiplexing division based modulation recognition using deep belief network with tangent search optimization in wireless optic communication,Shengqiang Hu;Sanjay Kumar Sen;Mohammed Altaf Ahmed;Azmeera Srinivas;Bharat Singh;D Vijendra Babu,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-06-30,10.1007/s11082-023-05095-y,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(SOC) Communications;
67407.0,"Decoding thoughts, encoding ethics: A narrative review of the BCI-AI revolution",Thorsten Rudroff,Brain Research,Elsevier,2024-12-22,10.1016/j.brainres.2024.149423,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Investigation by Third Party;,(B/T) Computer Science;(B/T) Technology;(BLS) Neuroscience;
67395.0,Relevant subset computation using mutually dependent features and normalized divergence isolation forest using bio-image of heart to classify coronary heart disease,Kaliyan Pragash;J Jayabharathy,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-27,10.1007/s11082-023-06144-2,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(HSC) Medicine - Cardiovascular;
67393.0,Harnessing quantum power using hybrid quantum deep neural network for advanced image taxonomy,Ajmeera Kiran;TDNSS Sarveswara Rao;Anandbabu Gopatoti;Ram Deshmukh;Janjhyam Venkata Naga Ramesh;R Krishnamoorthy,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-30,10.1007/s11082-023-06202-9,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Computer Science;(PHY) Physics;
67382.0,Analysis on quantum reinforcement learning algorithms for prediction of protein sequence,R Kalpana;P J Sathishkumar;B Shenbagavalli;S Subburaj,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-30,10.1007/s11082-023-06244-z,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(BLS) Biochemistry;(BLS) Biology - Molecular;
67381.0,Decoding toxicological signatures through quantum computational paradigm,Ishan Shivansh Bangroo;María Fernanda Del Cid Hernández;Ravi Kumar,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-30,10.1007/s11082-023-06079-8,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(BLS) Biochemistry;(BLS) Toxicology;(HSC) Medicine - Drug Design;
67380.0,Fuzzy Logic-enabled Autonomous IoT Systems for proactive maintenance in industry 4.0 digital twin scenarios,Megala Tulasiraman;Udaya Dayanandan;Terrance Frederick Ferrnandez;Vimala Vellaichamy;Deepa Rajasekeran,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-01-30,10.1007/s11082-023-06133-5,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Business - Manufacturing;(B/T) Computer Science;(B/T) Technology;
67379.0,Segmentation of lung on CXR images based on CXR-auto encoder segmentation with MRF,K Kiruthika;Rashmita Khilar,Optical and Quantum Electronics,Springer - Nature Publishing Group,2024-02-16,10.1007/s11082-024-06507-3,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Computer Science;(HSC) Medicine - Pulmonology;(HSC) Radiology/Imaging;
67370.0,Comparative analysis optical communication based renewable solar cell and quantum network for the reduction of carbon emission,FengLan Su;YunZhe Wang;LiHui Wang,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-07-19,10.1007/s11082-023-05140-w,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(ENV) Environmental Sciences;(PHY) Energy;(SOC) Communications;
67367.0,A weight optimized deep learning model for cluster based intrusion detection system,Sravanthi Godala;M Sunil Kumar,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-10-21,10.1007/s11082-023-05509-x,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Rogue Editor;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;(PHY) Statistics;
67366.0,Evaluating the effectiveness of RNN and its variants for personalized web search,B Sangamithra;B E Manjunath Swamy;M Sunil Kumar,Optical and Quantum Electronics,Springer - Nature Publishing Group,2023-10-17,10.1007/s11082-023-05510-4,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
66152.0,Modified artificial neural network based on developed snake optimization algorithm for short-term price prediction,Baozhu Li;Majid Khayatnezhad,Heliyon,Elsevier - Cell Press,2024-02-12,10.1016/j.heliyon.2024.e26335,Author Unresponsive;Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65458.0,Wearable sensor-based on exercise monitoring system for disabled the individuals using a multi-attribute fuzzy evaluation mode,Fei Wang,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-01-23,10.3233/jifs-235112,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(B/T) Technology;(HSC) Medicine - Rehabilitation/Therapy;(HSC) Medicine - Sports;
65455.0,User trust and evaluation mechanism based on community classification calculation in opportunistic social networks,Juan Huang;Fangfang Gou;Jia Wu,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-11-29,10.3233/jifs-232264,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Technology;
65454.0,Two-sided matching decision method and application based on subject differences in interval intuitionistic fuzzy environment,Jianmin Qiao;Woyuan Li;Lin Liu,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-01-10,10.3233/jifs-234191,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(SOC) Education;
65448.0,TOPSIS method based on connection number of set pair analysis subject to bipolar fuzzy environment with application in decision making,Waqar Arif;Waheed Ahmad Khan;Asghar Khan;Tariq Mahmood;Hossein Rashmanlou,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-11-22,10.3233/jifs-232838,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65447.0,TODIM-VIKOR method for quality evaluation of tourism rural landscape planning and design with 2-tuple linguistic neutrosophic numbers,Zhenggang Yan,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-08-29,10.3233/jifs-231400,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65446.0,TODIM-VIKOR method for performance evaluation of school-enterprise cooperation in vocational colleges under 2-tuple linguistic Pythagorean fuzzy sets,Yongguang Han;Xinrui Xu,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-05-08,10.3233/jifs-231575,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65445.0,TODIM-PROMETHEE method for tourism landscape planning design scheme evaluation based on the virtual reality technology under spherical fuzzy sets,Mingjia Tong,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-01-11,10.3233/jifs-233401,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65433.0,TODIM-GRA based multiple-attribute group decision-making technique for risk assessment of intangible cultural heritage tourism development under interval-valued pythagorean fuzzy circumstances,Zhonghui Kang,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-01-11,10.3233/jifs-236937,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - General;(B/T) Data Science;(SOC) Sociology;
65406.0,Threat assessment based on single-valued neutrosophic TOPSIS and three-way decision,Dongsheng Xu;Yuhuan Sun;Xinyang He,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-08-30,10.3233/jifs-232267,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(B/T) Technology;(SOC) Military/Naval Studies;
65405.0,The two stage group decision making model for massive alternatives based on the difference scale of expert evaluation,Rongrong Ren;Hailong Wang;Xinyu Meng;Meng Zhao,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-09-06,10.3233/jifs-233618,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - Management;(B/T) Data Science;
65404.0,The resolution of q-rung orthopair fuzzy set based three-way group conflict analysis,Tiantai Lin;Bin Yang,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-04-10,10.3233/jifs-224589,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(SOC) Political Science;
65403.0,The relationship between measurement and evaluation in physical education teaching based on intelligent analysis and sensor data mining,Juwei Zhang;Jing Wang;Mingjun Liu;Zhihui Li,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-03-13,10.3233/jifs-235410,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(HSC) Sports Science;(SOC) Education;
65395.0,The evaluation method for the completion degree of sports training action based on deep residual network,Quyang,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-11-10,10.3233/jifs-233773,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;(HSC) Sports Science;
65388.0,The degree of importance for partially labeled incomplete real-valued data with application to semi-supervised attribute reduction,Xue Su;Lijun Chen,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-04-25,10.3233/jifs-239559,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Data Science;
65374.0,Synergizing enterprise resource management with technology through driving innovation and growth in business models,Mengtong Xie;Huaqi Chai,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-03-10,10.3233/jifs-235379,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - Management;(B/T) Data Science;(B/T) Technology;
65368.0,Study on the coordinated development of national traditional sports and tourism brands based on big data platforms from the perspective of “The Belt and Road”,Peng Cao;Jing Xiao,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-09-20,10.3233/jifs-230547,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - Marketing;(B/T) Data Science;(B/T) International Relations;(B/T) Technology;(SOC) Sociology;(SOC) Sports and Recreation;
65367.0,Study on fuzzy comprehensive competitiveness evaluation of urban exhibition industry with hesitant fuzzy information,Yan Li,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-05-10,10.3233/jifs-231672,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - Economics;(B/T) Business - Management;(B/T) Data Science;
65366.0,Study on factors influencing coal emergency reserve center siting decision and countermeasures: evidence from China,Wei Kai,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-07-13,10.3233/jifs-232299,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Business - Management;(B/T) Data Science;(PHY) Energy;
65363.0,STFormer: A dual-stage transformer model utilizing spatio-temporal graph embedding for multivariate time series forecasting,Yuteng Xiao;Zhaoyang Liu;Hongsheng Yin;Xingang Wang;Yudong Zhang,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-01-02,10.3233/jifs-237250,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65362.0,Some T-spherical fuzzy dombi hamy mean operators and their applications to multi-criteria group decision-making process,Abrar Hussain;Kifayat Ullah;Ashraf Al-Quran;Harish Garg,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-09-01,10.3233/jifs-232505,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65357.0,SOHD-LOAM: Suppress odometry height drift lidar odometry and mapping on undulating road,Hao Qin;Yanli Zou;Guoliang Yu;Huipeng Liu;Yufei Tan,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2024-04-30,10.3233/jifs-235708,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65356.0,Software effort estimation using stacked ensembled techniques and proposed stacking ensemble using principal component regression as super learner,A G Priya Varshini;K Anitha Kumari,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-09-02,10.3233/jifs-230676,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
65355.0,Smart intrusion detection system with balanced data in IoMT infra,S Umamaheswaran;J Mannar Mannan;K M Karthick Raghunath;Santhi Muttipoll Dharmarajlu;M D Anuratha,Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),2023-12-15,10.3233/jifs-233649,Computer-Aided Content or Computer-Generated Content;Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Third Party Involvement;Compromised Peer Review;False/Forged Authorship;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;
